"sci_name","comm_name","name_label","gear_type","catch_mt_avg"
"Ocyurus chrysurus","Yellowtail snapper","Yellowtail snapper
(Ocyurus chrysurus)","small scale gillnets",360.461178081312
"Ocyurus chrysurus","Yellowtail snapper","Yellowtail snapper
(Ocyurus chrysurus)","subsistence fishing gear",273.270487397817
"Lutjanus analis","Mutton snapper","Mutton snapper
(Lutjanus analis)","subsistence fishing gear",245.322768041323
"Scomberomorus cavalla","King mackerel","King mackerel
(Scomberomorus cavalla)","longline",222.28957577965
"Lutjanus synagris","Lane snapper","Lane snapper
(Lutjanus synagris)","small scale gillnets",180.407532026603
"Lutjanus analis","Mutton snapper","Mutton snapper
(Lutjanus analis)","small scale pole lines",175.526585235622
"Lutjanus analis","Mutton snapper","Mutton snapper
(Lutjanus analis)","small scale gillnets",174.779482648604
"Lutjanus synagris","Lane snapper","Lane snapper
(Lutjanus synagris)","subsistence fishing gear",154.942587352749
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)","small scale gillnets",131.598653623605
"Lutjanus synagris","Lane snapper","Lane snapper
(Lutjanus synagris)","small scale hand lines",109.588634198055
"Lutjanus analis","Mutton snapper","Mutton snapper
(Lutjanus analis)","small scale hand lines",105.490394941816
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)","subsistence fishing gear",102.115481743247
"Sphyraena barracuda","Great barracuda","Great barracuda
(Sphyraena barracuda)","small scale gillnets",78.9601611200254
"Ocyurus chrysurus","Yellowtail snapper","Yellowtail snapper
(Ocyurus chrysurus)","small scale hand lines",76.1022720826727
"Sphyraena barracuda","Great barracuda","Great barracuda
(Sphyraena barracuda)","subsistence fishing gear",63.7747834736786
"Haemulon sciurus","Bluestriped grunt","Bluestriped grunt
(Haemulon sciurus)","small scale gillnets",58.5108401753203
"Lutjanus purpureus","Southern red snapper","Southern red snapper
(Lutjanus purpureus)","other industrial",56.5398174341048
"Haemulon sciurus","Bluestriped grunt","Bluestriped grunt
(Haemulon sciurus)","subsistence fishing gear",44.8996451359557
"Lutjanus vivanus","Silk snapper","Silk snapper
(Lutjanus vivanus)","shrimp trawl",43.5716672047867
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)","small scale hand lines",37.0246514079182
"Sphyraena barracuda","Great barracuda","Great barracuda
(Sphyraena barracuda)","small scale hand lines",31.9043153780091
"Lutjanus vivanus","Silk snapper","Silk snapper
(Lutjanus vivanus)","subsistence fishing gear",25.2299324724263
"Lutjanus griseus","Grey snapper","Grey snapper
(Lutjanus griseus)","small scale pots or traps",23.5355508663636
"Thunnus albacares","Yellowfin tuna","Yellowfin tuna
(Thunnus albacares)","longline",23.4277776709
"Epinephelus striatus","Nassau grouper","Nassau grouper
(Epinephelus striatus)","small scale gillnets",22.2181454719371
"Epinephelus striatus","Nassau grouper","Nassau grouper
(Epinephelus striatus)","subsistence fishing gear",22.0145854618943
"Gerres cinereus","Yellow fin mojarra","Yellow fin mojarra
(Gerres cinereus)","subsistence fishing gear",20.5207870943571
"Lutjanus griseus","Grey snapper","Grey snapper
(Lutjanus griseus)","small scale pole lines",20.3932875695475
"Lutjanus griseus","Grey snapper","Grey snapper
(Lutjanus griseus)","subsistence fishing gear",20.3481244366214
"Gerres cinereus","Yellow fin mojarra","Yellow fin mojarra
(Gerres cinereus)","small scale gillnets",19.0818245953786
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)","small scale gillnets",18.7515975985542
"Lutjanus jocu","Dog snapper","Dog snapper
(Lutjanus jocu)","subsistence fishing gear",17.7085860650543
"Lutjanus vivanus","Silk snapper","Silk snapper
(Lutjanus vivanus)","small scale hand lines",17.5175075130632
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)","subsistence fishing gear",16.3045699005443
"Haemulon sciurus","Bluestriped grunt","Bluestriped grunt
(Haemulon sciurus)","small scale hand lines",14.4846775858364
"Lachnolaimus maximus","Hogfish","Hogfish
(Lachnolaimus maximus)","small scale gillnets",14.2417058970068
"Lutjanus jocu","Dog snapper","Dog snapper
(Lutjanus jocu)","small scale hand lines",14.2169164082263
"Lutjanus apodus","Schoolmaster snapper","Schoolmaster snapper
(Lutjanus apodus)","subsistence fishing gear",13.6103331734526
"Lachnolaimus maximus","Hogfish","Hogfish
(Lachnolaimus maximus)","subsistence fishing gear",12.5703647807671
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)","small scale hand lines",12.1767704349182
"Rachycentron canadum","Cobia","Cobia
(Rachycentron canadum)","small scale gillnets",11.9580043842286
"Seriola dumerili","Greater amberjack","Greater amberjack
(Seriola dumerili)","subsistence fishing gear",11.6195992989684
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)","small scale pole lines",10.5857553072329
"Lutjanus jocu","Dog snapper","Dog snapper
(Lutjanus jocu)","small scale pole lines",10.4505418963608
"Lutjanus jocu","Dog snapper","Dog snapper
(Lutjanus jocu)","small scale gillnets",10.406060731998
"Rachycentron canadum","Cobia","Cobia
(Rachycentron canadum)","subsistence fishing gear",10.2447387042557
"Lachnolaimus maximus","Hogfish","Hogfish
(Lachnolaimus maximus)","hand or tools",9.98452451008182
"Lutjanus apodus","Schoolmaster snapper","Schoolmaster snapper
(Lutjanus apodus)","small scale hand lines",9.44985143665789
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)","subsistence fishing gear",9.14320828407714
"Seriola dumerili","Greater amberjack","Greater amberjack
(Seriola dumerili)","small scale hand lines",8.06765607640526
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)","small scale gillnets",6.23633225524
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)","subsistence fishing gear",6.20719673686571
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)","longline",4.63810346890625
"Ocyurus chrysurus","Yellowtail snapper","Yellowtail snapper
(Ocyurus chrysurus)","other industrial",4.59308367603461
"Mycteroperca bonaci","Black grouper","Black grouper
(Mycteroperca bonaci)","small scale pole lines",3.31676710194714
"Scomberomorus cavalla","King mackerel","King mackerel
(Scomberomorus cavalla)","subsistence fishing gear",3.01673779212
"Mycteroperca bonaci","Black grouper","Black grouper
(Mycteroperca bonaci)","subsistence fishing gear",2.96402611844857
"Scomberomorus cavalla","King mackerel","King mackerel
(Scomberomorus cavalla)","small scale gillnets",2.75805985678571
"Coryphaena hippurus","Common dolphinfish","Common dolphinfish
(Coryphaena hippurus)","longline",2.47082536499091
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)","small scale pole lines",1.17409757419194
"Epinephelus striatus","Nassau grouper","Nassau grouper
(Epinephelus striatus)","small scale pole lines",0.759535667932258
"Lutjanus vivanus","Silk snapper","Silk snapper
(Lutjanus vivanus)","unknown class",0.1399253731
