"sci_name","comm_name","linf_cm","winf_g","m","tmax_yr","tmat_yr","lmat_cm","recruit_sd_cond","recruit_sd_marg","recruit_sd_auto","masps","h","r","g_yr","fmsy","fmsy_div_m","temp_c","k","k_est"
"Acanthocybium solandri","Wahoo",117.3451564,18933.75443,0.631367946,8.009521396,2.396843863,56.78295637,0.082604826,0.373510769,0.568903644,1.5903715,0.694450309,0.506271141,4.939870513,1.297449972,2.100159763,25.31271422,81.625355763931,1216.62697328785
"Caranx hippos","Crevalle",47.75590475,1552.853318,1.046124805,6.633601874,1.493654296,22.65414199,0.134726291,0.461142073,0.529423337,2.848485082,0.826507728,1.04713489,3.152502792,4.361561407,4.173345061,26.67327289,2197.85172897987,354.067103238609
"Centropomus undecimalis","Snook",61.63868595,3006.057007,0.64270964,8.025776862,2.006828614,30.77134924,0.129721727,0.456858385,0.526407088,2.097712777,0.759399108,0.70970149,4.488627793,1.984234369,3.087764516,24.32454468,205.935105064957,892.199877328954
"Coryphaena hippurus","Dolphinfish",116.798435,25761.67122,1.334447126,3.941262005,0.787222605,70.51606721,1.547220145,1.306047527,-0.02874749,1.356912168,0.604127741,0.86317902,1.7975694,1.763070124,1.317441883,24.98151728,17.2791010272989,647.436647075416
"Diapterus auratus","Mojarra (Pompano)",18.60518707,77.87311756,1.860185491,3.365456345,0.703391843,10.48031005,0.523456876,0.767665151,0.237312993,3.29208817,0.823960791,1.617266346,1.801291505,8.346201375,4.618988756,25.01650015,NA,-555.168384455991
"Epinephelus guttatus","Red hind",55.43120908,2162.975035,0.366863845,14.96019198,5.225217018,29.35727932,0.040039008,0.398330935,0.826175405,1.749193042,0.780025365,0.400428557,8.543938874,1.176662053,3.171476819,25.34418339,163.635483584183,1385.42284039766
"Epinephelus itajara","Goliath grouper",169.0504185,69035.51952,0.152528569,33.69583602,11.50868136,84.17656823,0.022670815,0.37098531,0.953459353,0.238553507,0.679633399,0.15290155,19.92814148,0.3049579,1.981662626,24.49557991,522.710827714524,1780.17450084144
"Epinephelus striatus","Nassau grouper",96.41010856,12751.58544,0.264586721,19.10257574,6.919784684,46.80084853,0.022632994,0.370569228,0.942954451,1.551357744,0.787648508,0.317304867,11.84982409,0.886745362,3.364326091,27.02645852,1116.5979403646,1517.98702015084
"Etelis oculatus","Queen snapper",102.1292415,15656.2234,0.204709025,20.60787815,3.833798061,55.46134666,0.23929522,0.574551184,0.461098932,-0.010054394,0.60905314,0.22437899,11.57425101,0.273466028,1.358644217,20.82240277,NA,1666.18355308085
"Gerres cinereus","Mojarra (yellowfin)",33.37079948,495.7886002,1.081434011,5.675689153,1.173175182,16.47548343,0.198501244,0.511090334,0.447389207,2.859144324,0.810682274,1.172568236,2.716224613,4.333559883,4.028292236,27.0835433,297.12485923788,154.028237950188
"Haemulon album","Margate",64.94303873,4556.76023,0.610916732,15.96418828,3.747954435,30.69941427,0.056738657,0.442387999,0.775223859,2.107819089,0.760701157,0.572614232,6.042285245,1.883463738,3.096361405,27.22469975,NA,1110.82419383105
"Haemulon parra","Sailor's choice",43.34676945,1231.899805,0.724176634,13.21827465,3.042236937,21.41378131,0.075780938,0.453284819,0.711986074,2.280455599,0.769931801,0.689627201,5.158318047,2.373106609,3.275303268,26.72245916,NA,924.213995751912
"Haemulon plumierii","White grunt",40.36418466,1032.693591,0.81277454,13.41768217,2.949390136,20.8903396,0.10143302,0.49293026,0.663494158,2.124698889,0.74225281,0.658933542,4.4663056,2.235163012,2.772948681,27.17946663,373.488327977987,973.163696239928
"Haemulon sciurus","Bluestriped grunt",40.81146439,1026.985207,0.805128075,12.07175783,2.789848613,20.17801726,0.078889764,0.461922574,0.700119414,2.422906589,0.776667251,0.732488439,4.513016132,2.661876404,3.32379845,27.22799858,971.359234771171,855.859657070896
"Hyporthodus mystacinus","Misty grouper",105.7603784,18866.42554,0.21911544,26.05487184,8.718607397,54.86291807,0.035878198,0.434727946,0.889823496,1.186766153,0.765950403,0.2719995,15.76475313,0.663083315,3.082311308,22.67712114,NA,1590.23921221271
"Ictalurus furcatus","Black-eyed catfish (baca)",70.24159428,2559.853724,0.272789817,14.0511891,4.339647083,31.15418803,0.031866595,0.333275781,0.769150537,1.616755444,0.77932643,0.437390934,12.95000074,0.935408226,3.495495605,12.06406603,NA,1326.47590013631
"Kajikia albida","Marlin white",197.8016334,76067.88905,0.623577063,8.998237868,2.06278828,106.9864957,0.286194964,0.565648888,0.26291959,-0.376527357,0.457748956,0.288900859,4.662337539,0.333015763,0.53100268,22.67959885,NA,1563.28522601998
"Kajikia audax","Marlin stripe",248.8871601,159850.7461,0.561722875,10.05766382,2.297027566,132.8752101,0.267036452,0.559236021,0.279726552,-0.567159727,0.43779925,0.244429707,5.068150881,0.264606542,0.472923636,22.89931656,NA,1634.2070268635
"Lachnolaimus maximus","Hogfish",47.93364191,1796.044811,0.391260594,14.34413539,3.810208806,22.25470464,0.046078612,0.434507002,0.832684634,2.810194895,0.874101994,0.677240017,7.959231549,2.440148927,6.095512811,24.46419615,209.735601615335,943.968856086092
"Lutjanus analis","Mutton snapper",92.3023258,10633.64285,0.241648307,17.86910152,3.728724191,41.69464933,0.062298168,0.393608956,0.707043577,0.906218191,0.727348019,0.295407297,10.70106752,0.591249885,2.444596744,26.10506894,8156.87153465711,1552.90887462623
"Lutjanus apodus","Schoolmaster",45.62982373,1150.283637,0.402458922,11.42552824,2.188909009,23.35690286,0.158435781,0.482028763,0.508139547,1.065052159,0.687118536,0.435558014,6.32206032,0.818916097,2.043278207,26.97789331,321.908481252492,1329.3990082942
"Lutjanus buccanella","Deep water blackgin snapper",55.13719504,2084.532634,0.608081116,8.204830461,1.75957283,27.65038094,0.195661001,0.508000668,0.443458686,1.943568673,0.764473931,0.64545915,4.610283908,1.792228043,2.940545991,21.5140791,NA,994.652416521147
"Lutjanus cyanopterus","Cubera snapper",73.77166569,5214.944746,0.255122551,17.47711069,3.427320044,35.74584859,0.095167103,0.437910097,0.626062927,0.609515012,0.676332768,0.294675123,9.903882053,0.504629205,1.960709641,26.12099042,NA,1554.0765326759
"Lutjanus griseus","Gray snapper",63.12400618,2870.232427,0.222776017,20.30859047,3.841389289,31.74885647,0.097500188,0.43070406,0.620047011,0.064375018,0.6094832,0.211600654,10.74252572,0.32343257,1.434895869,25.71614793,786.586393865713,1686.56221565527
"Lutjanus jocu","Dog snapper",92.12871313,10497.57607,0.205895232,21.35465066,4.242139496,43.3815892,0.072930722,0.416764358,0.686910397,0.407572739,0.668169291,0.236732006,12.37596539,0.38605098,1.873939211,25.87663749,755.312604315845,1646.48318326428
"Lutjanus mahogoni","Mangrove/Mahogany snapper",66.77669971,3808.025156,0.252856909,17.41377026,3.406623869,32.82529588,0.10394754,0.440331607,0.612937322,0.670258986,0.68787606,0.295120103,9.997067162,0.518917934,2.042755543,24.89022041,NA,1553.36688650034
"Lutjanus purpureus","Southern red snapper",93.80733843,10716.10807,0.21659412,19.94516923,4.145308545,43.51927219,0.069318714,0.401317304,0.688912262,0.652498741,0.706305382,0.254154947,11.97371291,0.478768905,2.224082767,23.81829512,1522.24186735503,1618.69738739125
"Lutjanus synagris","Lane snapper",55.98724788,1703.732276,0.446998169,8.421021245,2.079210832,24.70309782,0.054853478,0.336892099,0.656830724,1.839362732,0.786706416,0.545315911,6.023957204,1.436233188,3.213881912,26.34583149,2547.863351634,1154.3590697732
"Lutjanus vivanus","Yellow-eyed snapper",75.36002072,5145.924667,0.187912917,21.98781667,4.339715214,37.27324064,0.0982992,0.433548938,0.628842663,0.312951306,0.67586801,0.223868246,13.1007153,0.365811685,1.942448945,21.04898072,877.017002173113,1666.99807851186
"Mayaheros urophthalmus","Crana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muguil spp.","Mullet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mycteroperca bonaci","Black grouper",119.7859602,25550.22396,0.225956785,28.68933879,9.757590887,64.00149441,0.033628862,0.406017987,0.889904763,0.584022566,0.676275983,0.199411942,14.79087081,0.4409485,1.961592173,24.52725171,125.811287813696,1706.00055638013
"Mycteroperca tigris","Tiger grouper",78.59340804,7112.334101,0.315868069,20.62112272,7.181868529,41.94606764,0.035599548,0.419902381,0.875721963,1.339882006,0.742329617,0.320278077,11.11779181,0.838383374,2.711500284,25.91538206,NA,1513.24539781809
"Mycteroperca venenosa","Yellowfin grouper",88.09111269,10072.6504,0.351030292,18.39662169,6.6803145,45.27878277,0.030079292,0.395221887,0.895112858,1.578888086,0.759305835,0.350208474,9.929734321,1.026831943,2.95127597,26.72711165,NA,1465.51293396823
"Ocyurus chrysurus","Yellowtail snapper",55.94094342,2527.063713,0.347598184,13.745061,3.209235824,25.36373614,0.053216919,0.405338274,0.763228802,2.085612445,0.820987692,0.51584057,7.997090342,1.450475138,4.149703455,26.6838323,5457.93154922616,1201.36581842224
"Petenia splendida","Bay snook",25.97171727,294.7257446,0.735044551,8.494921313,1.740766645,17.35794635,0.734306973,0.938829988,0.277294318,1.828862114,0.722683443,0.799887753,4.22839431,1.805210472,2.506372273,24.06698176,NA,748.372431992981
"Rachycentron canadum","Cobia",127.5299061,30119.56484,0.411182912,11.45534999,2.699757497,63.60182148,0.14904989,0.470388694,0.501378603,1.135428124,0.690057912,0.454214681,6.416805788,0.877791659,2.106685595,23.54799283,238.341841303516,1299.64568817832
"Rhomboplites aurorubens","Vermillion snapper",60.45103263,2989.009289,0.27821611,13.59487957,3.087625943,29.18825592,0.106813391,0.457313555,0.616141155,1.841437562,0.821535823,0.472121456,9.262702013,1.148753743,4.13764084,19.11251491,NA,1271.08828246282
"Sardinella spp.","Sardine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scomberomorus cavalla","King mackerel",133.1390429,14608.81846,0.287383791,14.05063462,4.004495702,60.44903744,0.030893743,0.269692999,0.693260324,-0.518368054,0.491753508,0.156483417,9.529260435,0.21281598,0.745074955,24.70793304,1155.36591464869,1774.46220316986
"Scomberomorus maculatus","Spanish mackerel",92.56736793,4729.957381,0.404755144,10.20311959,2.726215916,45.24048605,0.059053819,0.307850406,0.552595,-0.415395771,0.4641329,0.197414132,6.496313876,0.27070385,0.668438888,25.85736509,NA,1709.18662817209
"Scomberomorus regalis","Cerro mackerel",105.6326049,7329.740166,0.461189847,9.295792312,2.535836467,51.29138115,0.064762885,0.322499414,0.527482894,-0.228923485,0.472762561,0.226627541,6.200511317,0.316300199,0.695819879,25.17213452,NA,1662.59760400968
"Seriola dumerili","Great amberjack",151.5199721,48879.22547,0.552096161,11.93271869,2.690440474,70.14532606,0.111040535,0.419521727,0.544352554,1.213734067,0.661087395,0.43441977,5.939256825,0.983187476,1.802568374,23.45657238,272.701047318841,1331.21425954471
"Sphyraena barracuda","Great barracuda",152.9185723,31766.23507,0.241951362,20.51456355,5.591396346,70.72041317,0.033890821,0.319770879,0.753883964,-0.225315119,0.557901721,0.167066229,12.40601436,0.261861326,1.076650014,23.24599705,3162.35225991882,1757.58492315183
"Sprattus spp.","Sprat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thunnus albacares","Yellowfin tuna",209.2157195,109583.0756,0.554038886,7.745404977,2.453055009,102.5575271,0.10443648,0.378975927,0.492387785,1.145549554,0.667233813,0.410515749,5.190457759,1.015197907,1.845687987,23.66401606,NA,1369.3359663249
"Vieja melanurus","Tuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Xiphias gladius","Swordfish",260.5520161,187079.8623,0.257601146,15.04760589,4.254243558,111.3849641,0.041848604,0.31156798,0.688879796,0.519473674,0.648491562,0.234773411,11.06660169,0.430045613,1.695736533,20.60313052,NA,1649.60671567296
